Date,Stock,Headline,Source,Posted,Description,Link
2024-04-01,GOOGL,Emmys 2024 live: Baby Reindeer sweeps four major categories as Richard Gadd...,The Independent ·  via Yahoo News,1 month ago,"The 2024 Emmys took place on Sunday (September 15) night, with controversial Netflix show Baby...",https://www.yahoo.com/entertainment/emmys-2024-live-time-nominated-161521672.html?fr=sycsrp_catchall
2024-04-01,GOOGL,"Search ad costs rise, conversion rates decline again in 2024",Search Engine Land,5 months ago,Paid search advertising conversion rates have decreased across nearly all industries year over year....,https://searchengineland.com/search-advertising-benchmarks-2024-440415?yptr=yahoo
2024-04-01,GOOGL,Fact Check: Here's What We Learned About This Image Allegedly Showing Epstein...,Snopes ·  via Yahoo News,9 months ago,"X user @FlyingDutchPall Claim: A photograph shared in January 2024 authentically showed the late,...",https://news.yahoo.com/fact-check-heres-learned-image-140000684.html?fr=sycsrp_catchall
2024-04-01,GOOGL,Shop the best tablet deals ahead of Prime Day 2024,Mashable ·  via Yahoo News,3 months ago,"All products featured here are independently selected by our editors and writers. If you buy something through links on our site, Mashable may earn an...",https://www.yahoo.com/tech/shop-best-tablet-deals-ahead-171532414.html
2024-04-01,GOOGL,Snipers Were Allegedly Spotted at Ohio State University and Indiana University...,Snopes ·  via Yahoo News,6 months ago,"screen capture As pro-Palestinian protests multiplied on U.S. campuses on April 25-26, 2024,...",https://www.yahoo.com/news/snipers-were-allegedly-spotted-ohio-190600717.html?fr=sycsrp_catchall
2024-04-01,GOOGL,Need a new phone? These are the best unlocked phone deals during Prime Day 2024.,Mashable ·  via Yahoo News,3 months ago,Editors and writers independently select products unless marked Sponsored or Promoted. Sponsored...,https://www.yahoo.com/tech/phone-best-unlocked-phone-deals-070000497.html
2024-04-01,GOOGL,The best smartwatch and fitness tracker deals to shop during Prime Day,Mashable ·  via Yahoo News,3 months ago,Editors and writers independently select products unless marked Sponsored or Promoted. Sponsored...,https://www.yahoo.com/lifestyle/best-smartwatch-fitness-tracker-deals-070000698.html?fr=sycsrp_catchall
2024-04-01,GOOGL,Get to grips with these 7 creative trends in 2024,Creative Bloq ·  via Yahoo News,10 months ago,"Depositphotos creative trends report. The design predictions for 2024 are flying in. For one company, the year is going to be about divergence, with a...",https://www.yahoo.com/lifestyle/grips-7-creative-trends-2024-092440664.html?fr=sycsrp_catchall
2024-04-01,AMZN,Amazon (AMZN) Up 1.7% Since Last Earnings Report: Can It Continue?,Zacks ·  via Yahoo Finance,5 months ago,A month has gone by since the last earnings report for Amazon (AMZN). Shares have added about 1.7%...,https://finance.yahoo.com/news/amazon-amzn-1-7-since-153103663.html?fr=sycsrp_catchall
2024-04-01,AMZN,"Is Amazon.com, Inc. (NASDAQ:AMZN) Trading At A 23% Discount?",Simply Wall St. ·  via Yahoo Finance,7 months ago,Key Insights The projected fair value for Amazon.com is US$238 based on 2 Stage Free Cash Flow to...,https://finance.yahoo.com/news/amazon-com-inc-nasdaq-amzn-140014535.html?fr=sycsrp_catchall
2024-04-01,AMZN,"Amazon (AMZN) Q1 Earnings & Sales Beat Estimates, Rise Y/Y",Zacks ·  via Yahoo Finance,6 months ago,"Amazon's (AMZN) first-quarter results benefit from strength in the AWS, Prime and advertising...",https://finance.yahoo.com/news/amazon-amzn-q1-earnings-sales-161400690.html?fr=sycsrp_catchall
2024-04-01,AMZN,Murray Stahl's Strategic Moves in Q1 2024: A Closer Look at Texas Pacific Land...,GuruFocus.com ·  via Yahoo Finance,5 months ago,"Insights into the Investment Shifts of a Veteran Investor Murray Stahl (Trades, Portfolio), the...",https://finance.yahoo.com/news/murray-stahls-strategic-moves-q1-220151355.html?fr=sycsrp_catchall
2024-04-01,AMZN,State Street Corp's Strategic Adjustment in United Community Banks Inc Holdings,GuruFocus.com ·  via Yahoo Finance,5 days ago,"On September 30, 2024, State Street Corp executed a notable transaction by reducing its holdings in...",https://finance.yahoo.com/news/state-street-corps-strategic-adjustment-190404506.html?fr=sycsrp_catchall
2024-04-01,AMZN,Tom Gayner's Strategic Moves in Q2 2024 Highlight Franco-Nevada Corp's...,GuruFocus.com ·  via Yahoo Finance,3 months ago,"Insight into the Investment Shifts of Markel Corp's Co-CEO Tom Gayner (Trades, Portfolio), the...",https://finance.yahoo.com/news/tom-gayners-strategic-moves-q2-230328877.html?fr=sycsrp_catchall
2024-04-01,AMZN,Should Goldman Sachs MarketBeta U.S. 1000 Equity ETF (GUSA) Be on Your Investing...,Zacks ·  via Yahoo Finance,10 months ago,"Launched on 04/05/2022, the Goldman Sachs MarketBeta U.S. 1000 Equity ETF (GUSA) is a passively...",https://finance.yahoo.com/news/goldman-sachs-marketbeta-u-1000-112007856.html?fr=sycsrp_catchall
2024-04-01,AMZN,Is Invesco Large Cap Growth ETF (PWB) a Strong ETF Right Now?,Zacks ·  via Yahoo Finance,7 months ago,"A smart beta exchange traded fund, the Invesco Large Cap Growth ETF (PWB) debuted on 03/03/2005, and...",https://finance.yahoo.com/news/invesco-large-cap-growth-etf-102005413.html?fr=sycsrp_catchall
2024-04-01,AMZN,Wellington Management Group LLP Reduces Stake in Squarespace Inc,GuruFocus.com ·  via Yahoo Finance,3 weeks ago,"On September 30, 2024, Wellington Management Group LLP executed a significant transaction involving...",https://finance.yahoo.com/news/wellington-management-group-llp-reduces-170249867.html?fr=sycsrp_catchall
2024-04-01,AMZN,Is SoFi Select 500 ETF (SFY) a Strong ETF Right Now?,Zacks ·  via Yahoo Finance,10 months ago,"The SoFi Select 500 ETF (SFY) made its debut on 04/11/2019, and is a smart beta exchange traded fund that provides broad exposure to the Style Box -...",https://finance.yahoo.com/news/sofi-select-500-etf-sfy-112006514.html?fr=sycsrp_catchall
